p,d,loss_rate_emp,final_mean_err,decay_ratio,control_rms,settle_time_50pct,min_pair_dist,final_err_agv1,final_err_agv12
0.05,1,0.0477440319960005,0.000446622150202601,0.000272472789056278,0.123061558830874,35.4,0,0.000764139237576597,0.000351584933680447
0.05,2,0.0477440319960005,0.000450193187551349,0.000274651387913939,0.123293666130409,35.35,0,0.000770249032526954,0.000354396086081424
0.05,3,0.0477440319960005,0.000453661871036521,0.00027676754328852,0.12352642531034,35.35,0,0.000776183707178738,0.000357126664607917
0.2,1,0.198350206224222,0.000447398082094326,0.000272946165324248,0.123106078947567,35.4,0,0.000765466802733232,0.000352195754176401
0.2,2,0.198350206224222,0.000450942860950338,0.000275108744544843,0.123338413214479,35.35,0,0.000771531671239956,0.000354986235656767
0.2,3,0.198350206224222,0.000454388438925239,0.000277210803836587,0.123571493282463,35.35,0,0.00077742681397955,0.000357698625318839
0.35,1,0.345956755405574,0.00044845718400644,0.000273592296403412,0.123162648721855,35.35,0,0.000767278851971117,0.000353029488632369
0.35,2,0.345956755405574,0.00045196554070429,0.000275732655393743,0.123395270354062,35.35,0,0.000773281404714285,0.000355791298265613
0.35,3,0.345956755405574,0.000455378802345555,0.000277814999314107,0.123628761071425,35.35,0,0.000779121256468183,0.000358478248226213
