p,d,loss_rate_emp,final_pos_err,decay_ratio,control_rms,settle_time_50pct
0.05,1,0.048689138576779,0.526559001991255,0.411173500986421,0.0680404693890028,35.4
0.05,2,0.048689138576779,0.525370287730052,0.410245271096508,0.0681623924987712,35.35
0.05,3,0.048689138576779,0.525384218849737,0.41025614947335,0.0682808864105298,35.35
0.2,1,0.196004993757803,0.526332836023733,0.410996895036626,0.0680631420834509,35.4
0.2,2,0.196004993757803,0.525143135696869,0.410067895158794,0.0681851795858542,35.35
0.2,3,0.196004993757803,0.525155899351867,0.410077861898876,0.0683038498273114,35.35
0.35,1,0.33832709113608,0.526041386462361,0.410769311164625,0.0680918856339032,35.35
0.35,2,0.33832709113608,0.524850447601462,0.409839344154195,0.0682140613332619,35.35
0.35,3,0.33832709113608,0.524861686107363,0.409848119952918,0.0683329571028859,35.35
